Sample,Species,SRA,Latitude,Longitude,Average.Depth,Sampling.Locale,K3,K14
LNP15_01,D. melanogaster,SRR21846031,-12.941,31.9045,16,South,AFR1,South_1-anc13
LNP15_11,D. melanogaster,SRR21846029,-12.941,31.9045,13.2,South,AFR1,South_1-anc13
LNP15_19,D. melanogaster,SRR21846028,-12.941,31.9045,14.1,South,AFR1,South_1-anc13
LNP15_21,D. melanogaster,SRR21846026,-12.941,31.9045,21.3,South,AFR1,South_1-anc13
LNP15_29,D. melanogaster,SRR21846024,-12.941,31.9045,16.5,South,AFR1,South_1-anc13
LNP15_34,D. melanogaster,SRR21846023,-12.941,31.9045,18.4,South,AFR1,South_1-anc13
LNP15_42,D. melanogaster,SRR21846022,-12.941,31.9045,20.7,South,AFR1,South_1-anc13
LNP15_50,D. melanogaster,SRR21846021,-12.941,31.9045,15.3,South,AFR1,South_1-anc13
LNP15_67,D. melanogaster,SRR21846019,-12.941,31.9045,15.6,South,AFR1,South_1-anc13
LUN15_45,D. melanogaster,SRR21846015,-15.4407,28.3698,11.5,South,AFR1,South_1-anc13
LUN15_56,D. melanogaster,SRR21846013,-15.4407,28.3698,66.1,South,AFR1,South_1-anc13
LUN15_59,D. melanogaster,SRR21846012,-15.4407,28.3698,54.3,South,AFR1,South_2-anc2
LUN15_68,D. melanogaster,SRR21846011,-15.4407,28.3698,63.4,South,AFR1,South_2-anc2
LUN15_76,D. melanogaster,SRR21846010,-15.4407,28.3698,50.6,South,AFR1,South_1-anc13
LZV15_02,D. melanogaster,SRR21846009,-15.749997,29.333332,46.6,South,AFR1,South_1-anc13
LZV15_20,D. melanogaster,SRR21846007,-15.749997,29.333332,46.4,South,AFR1,South_1-anc13
LZV15_30,D. melanogaster,SRR21846006,-15.749997,29.333332,58.4,South,AFR1,South_1-anc13
LZV15_37,D. melanogaster,SRR21846151,-15.749997,29.333332,49.7,South,AFR1,South_1-anc13
LZV15_45,D. melanogaster,SRR21846150,-15.749997,29.333332,50.9,South,AFR1,South_1-anc13
LZV15_47,D. melanogaster,SRR21846149,-15.749997,29.333332,52.6,South,AFR1,South_1-anc13
LZV_32_WB,D. melanogaster,SRR21846148,-15.749997,29.333332,44.8,South,AFR1,South_1-anc13
LZV_35,D. melanogaster,SRR21846147,-15.749997,29.333332,56.6,South,AFR1,South_1-anc13
LZV_83_BM1,D. melanogaster,SRR21846146,-15.749997,29.333332,53.9,South,AFR1,South_1-anc13
LZV_83,D. melanogaster,SRR21846145,-15.749997,29.333332,49.7,South,AFR1,South_1-anc13
LZV_A10,D. melanogaster,SRR21846144,-15.749997,29.333332,48.7,South,AFR1,South_1-anc13
LZV_A11,D. melanogaster,SRR21846143,-15.749997,29.333332,47.3,South,AFR1,South_1-anc13
LZV_A16,D. melanogaster,SRR21846142,-15.749997,29.333332,48.3,South,AFR1,South_1-anc13
LZV_A18,D. melanogaster,SRR21846140,-15.749997,29.333332,54.8,South,AFR1,South_1-anc13
LZV_A20,D. melanogaster,SRR21846139,-15.749997,29.333332,46.6,South,AFR1,South_1-anc13
LZV_A22,D. melanogaster,SRR21846138,-15.749997,29.333332,55.2,South,AFR1,South_1-anc13
LZV_A3,D. melanogaster,SRR21846137,-15.749997,29.333332,43.6,South,AFR1,South_1-anc13
LZV_A5,D. melanogaster,SRR21846135,-15.749997,29.333332,46.5,South,AFR1,South_1-anc13
LZV_A7,D. melanogaster,SRR21846134,-15.749997,29.333332,50.7,South,AFR1,South_1-anc13
LZV_A8_L94,D. melanogaster,SRR21846133,-15.749997,29.333332,51.4,South,AFR1,South_1-anc13
LZV_A9_L100,D. melanogaster,SRR21846132,-15.749997,29.333332,45.6,South,AFR1,South_1-anc13
LZV_L101,D. melanogaster,SRR21846131,-15.749997,29.333332,59.1,South,AFR1,South_1-anc13
LZV_L10_WB,D. melanogaster,SRR21846129,-15.749997,29.333332,47.1,South,AFR1,South_1-anc13
LZV_L125,D. melanogaster,SRR21846128,-15.749997,29.333332,42.5,South,AFR1,South_1-anc13
LZV_L126,D. melanogaster,SRR21846127,-15.749997,29.333332,45.2,South,AFR1,South_1-anc13
LZV_L128,D. melanogaster,SRR21846126,-15.749997,29.333332,39.5,South,AFR1,South_1-anc13
LZV_L129,D. melanogaster,SRR21846125,-15.749997,29.333332,47,South,AFR1,South_1-anc13
LZV_L12_BM1_BP1_L12,D. melanogaster,SRR21846124,-15.749997,29.333332,56,South,AFR1,South_1-anc13
LZV_L131,D. melanogaster,SRR21846066,-15.749997,29.333332,44.6,South,AFR1,South_1-anc13
LZV_L134,D. melanogaster,SRR21846065,-15.749997,29.333332,42.7,South,AFR1,South_1-anc13
LZV_L14,D. melanogaster,SRR21846064,-15.749997,29.333332,46.3,South,AFR1,South_1-anc13
LZV_L15,D. melanogaster,SRR21846063,-15.749997,29.333332,48.4,South,AFR1,South_1-anc13
LZV_L19_WB,D. melanogaster,SRR21846061,-15.749997,29.333332,44.3,South,AFR1,South_1-anc13
LZV_L23,D. melanogaster,SRR21846060,-15.749997,29.333332,46.5,South,AFR1,South_1-anc13
LZV_L24,D. melanogaster,SRR21846059,-15.749997,29.333332,53.8,South,AFR1,South_1-anc13
LZV_L27,D. melanogaster,SRR21846058,-15.749997,29.333332,46.8,South,AFR1,South_1-anc13
LZV_L30,D. melanogaster,SRR21846057,-15.749997,29.333332,52.2,South,AFR1,South_1-anc13
LZV_L32,D. melanogaster,SRR21846056,-15.749997,29.333332,49.8,South,AFR1,South_1-anc13
LZV_L36,D. melanogaster,SRR21846055,-15.749997,29.333332,49.9,South,AFR1,South_1-anc13
LZV_L37,D. melanogaster,SRR21846054,-15.749997,29.333332,42.4,South,AFR1,South_1-anc13
LZV_L39,D. melanogaster,SRR21846053,-15.749997,29.333332,56.2,South,AFR1,South_1-anc13
LZV_L43,D. melanogaster,SRR21846052,-15.749997,29.333332,53.4,South,AFR1,South_1-anc13
LZV_L44,D. melanogaster,SRR21846050,-15.749997,29.333332,56.4,South,AFR1,South_1-anc13
LZV_L52,D. melanogaster,SRR21846049,-15.749997,29.333332,49.1,South,AFR1,South_1-anc13
LZV_L54,D. melanogaster,SRR21846048,-15.749997,29.333332,47.1,South,AFR1,South_1-anc13
LZV_L55,D. melanogaster,SRR21846047,-15.749997,29.333332,42.8,South,AFR1,South_1-anc13
LZV_L56,D. melanogaster,SRR21846046,-15.749997,29.333332,49.7,South,AFR1,South_1-anc13
LZV_L58,D. melanogaster,SRR21846045,-15.749997,29.333332,49.7,South,AFR1,South_1-anc13
LZV_L60,D. melanogaster,SRR21846044,-15.749997,29.333332,46.7,South,AFR1,South_1-anc13
LZV_L63,D. melanogaster,SRR21846043,-15.749997,29.333332,46.8,South,AFR1,South_1-anc13
LZV_L66,D. melanogaster,SRR21846042,-15.749997,29.333332,87.3,South,AFR1,South_1-anc13
LZV_L69,D. melanogaster,SRR21846041,-15.749997,29.333332,55.2,South,AFR1,South_1-anc13
LZV_L70,D. melanogaster,SRR21846039,-15.749997,29.333332,49.7,South,AFR1,South_1-anc13
LZV_L71,D. melanogaster,SRR21846123,-15.749997,29.333332,43.9,South,AFR1,South_1-anc13
LZV_L73,D. melanogaster,SRR21846122,-15.749997,29.333332,42.7,South,AFR1,South_1-anc13
LZV_L74,D. melanogaster,SRR21846121,-15.749997,29.333332,46,South,AFR1,South_1-anc13
LZV_L75,D. melanogaster,SRR21846120,-15.749997,29.333332,44.7,South,AFR1,South_1-anc13
LZV_L76,D. melanogaster,SRR21846119,-15.749997,29.333332,41.6,South,AFR1,South_1-anc13
LZV_L77,D. melanogaster,SRR21846118,-15.749997,29.333332,48.7,South,AFR1,South_1-anc13
LZV_L79,D. melanogaster,SRR21846117,-15.749997,29.333332,55.2,South,AFR1,South_1-anc13
LZV_L81,D. melanogaster,SRR21846116,-15.749997,29.333332,56.6,South,AFR1,South_1-anc13
LZV_L82,D. melanogaster,SRR21846115,-15.749997,29.333332,56.1,South,AFR1,South_1-anc13
LZV_L88,D. melanogaster,SRR21846113,-15.749997,29.333332,43.9,South,AFR1,South_1-anc13
LZV_L89,D. melanogaster,SRR21846112,-15.749997,29.333332,52.8,South,AFR1,South_1-anc13
LZV_L91,D. melanogaster,SRR21846111,-15.749997,29.333332,104.2,South,AFR1,South_1-anc13
LZV_L93,D. melanogaster,SRR21846110,-15.749997,29.333332,43.1,South,AFR1,South_1-anc13
LZV_L95,D. melanogaster,SRR21846109,-15.749997,29.333332,45.3,South,AFR1,South_1-anc13
LZV_LMZ_A15_L98,D. melanogaster,SRR21846108,-15.749997,29.333332,48.5,South,AFR1,South_1-anc13
LZV_LMZ_A23,D. melanogaster,SRR21846107,-15.749997,29.333332,44,South,AFR1,South_1-anc13
LZV_LMZ_L103,D. melanogaster,SRR21846106,-15.749997,29.333332,35.6,South,AFR1,South_1-anc13
LZV__NA_L66,D. melanogaster,SRR21846105,-15.749997,29.333332,57.2,South,AFR1,South_1-anc13
MAG18,D. melanogaster,SRX891982,22.22,-72.54,4.6,OOA,OOA,OOA_1-anc10
MAG19,D. melanogaster,SRX891983,22.22,-72.54,7.3,OOA,OOA,OOA_1-anc10
MC15,D. melanogaster,SRR21846104,-15.749997,29.333332,65,South,AFR1,South_1-anc13
MC16,D. melanogaster,SRR21846102,-15.749997,29.333332,35.9,South,AFR1,South_1-anc13
MC19,D. melanogaster,SRR21846101,-15.749997,29.333332,56.1,South,AFR1,South_1-anc13
MC1,D. melanogaster,SRR21846100,-15.749997,29.333332,53.1,South,AFR1,South_1-anc13
MC20,D. melanogaster,SRR21846099,-15.749997,29.333332,51.9,South,AFR1,South_1-anc13
